wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
3274,2015,03,201503,31740,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3275,2015,03,201503,146940,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3276,2015,03,201503,49970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3277,2015,03,201503,34090,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3278,2015,03,201503,106780,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3279,2015,03,201503,13420,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3301,2015,03,201503,243470,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3302,2015,03,201503,285850,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3303,2015,03,201503,176490,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3304,2015,03,201503,165360,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3305,2015,03,201503,241940,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3306,2015,03,201503,101250,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3307,2015,03,201503,166410,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3308,2015,03,201503,162380,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3309,2015,03,201503,119970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3310,2015,03,201503,172300,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3311,2015,03,201503,79940,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3312,2015,03,201503,122980,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3313,2015,03,201503,106430,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3314,2015,03,201503,130420,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3315,2015,03,201503,184490,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3316,2015,03,201503,115050,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3317,2015,03,201503,119110,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3318,2015,03,201503,147050,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3319,2015,03,201503,64100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3320,2015,03,201503,100610,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3321,2015,03,201503,160890,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3322,2015,03,201503,81250,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3323,2015,03,201503,87450,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3324,2015,03,201503,109270,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3325,2015,03,201503,83530,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3326,2015,03,201503,112070,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3327,2015,03,201503,235530,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3328,2015,03,201503,143540,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3329,2015,03,201503,352010,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3371,2015,03,201503,10920,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3372,2015,03,201503,55710,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3373,2015,03,201503,10620,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3374,2015,03,201503,84270,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3375,2015,03,201503,24060,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
